ore_name	slug	display_name	reg_name	name
alumiteRod	4632d15	Obzinite Tool Rod	TConstruct:toolRod	toolpart.ToolRod.Alumite
antiBlock	2002d0	Anti Block	chisel:antiBlock	tile.chisel.antiBlock
apiaryUpgrade	7440d32206	Acceleration Upgrade x128	gregtech:gt.metaitem.03	gt.metaitem.03.32206
apiaryUpgrade	7440d32203	Acceleration Upgrade x16	gregtech:gt.metaitem.03	gt.metaitem.03.32203
apiaryUpgrade	7440d32200	Acceleration Upgrade x2	gregtech:gt.metaitem.03	gt.metaitem.03.32200
apiaryUpgrade	7440d32207	Acceleration Upgrade x256	gregtech:gt.metaitem.03	gt.metaitem.03.32207
apiaryUpgrade	7440d32204	Acceleration Upgrade x32	gregtech:gt.metaitem.03	gt.metaitem.03.32204
apiaryUpgrade	7440d32201	Acceleration Upgrade x4	gregtech:gt.metaitem.03	gt.metaitem.03.32201
apiaryUpgrade	7440d32205	Acceleration Upgrade x64	gregtech:gt.metaitem.03	gt.metaitem.03.32205
apiaryUpgrade	7440d32202	Acceleration Upgrade x8	gregtech:gt.metaitem.03	gt.metaitem.03.32202
apiaryUpgrade	7440d32215	Automation Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32215
apiaryUpgrade	7440d32220	Cooler Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32220
apiaryUpgrade	7440d32219	Desert Emulation Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32219
apiaryUpgrade	7440d32214	Dryer Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32214
apiaryUpgrade	7440d32212	Flowering Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32212
apiaryUpgrade	7440d32223	Genetic Stabilizer Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32223
apiaryUpgrade	7440d32228	Heater Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32228
apiaryUpgrade	7440d32217	HELL Emulation Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32217
apiaryUpgrade	7440d32216	Humidifier Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32216
apiaryUpgrade	7440d32224	Jungle Emulation Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32224
apiaryUpgrade	7440d32221	Lifespan Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32221
apiaryUpgrade	7440d32211	Light Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32211
apiaryUpgrade	7440d32231	Night Upgrade	gregtech:gt.metaitem.03	gt.metaitem.03.32231
