ore_name	reg_name	damage	display_name
CompressedAdamantite	GalaxySpace:item.CompressedPlates	0	Compressed Adamantite
CompressedCobalt	GalaxySpace:item.CompressedPlates	1	Compressed Cobalt
CompressedCobaltum	GalaxySpace:item.CompressedPlates	1	Compressed Cobalt
CompressedDuralumin	GalaxySpace:item.CompressedPlates	2	Compressed Duralumin
CompressedLead	GalaxySpace:item.CompressedPlates	3	Compressed Lead
CompressedMagnesium	GalaxySpace:item.CompressedPlates	4	Compressed Magnesium
CompressedMithril	GalaxySpace:item.CompressedPlates	5	Compressed Mithril
CompressedNickel	GalaxySpace:item.CompressedPlates	6	Compressed Nickel
CompressedOriharukon	GalaxySpace:item.CompressedPlates	7	Compressed Oriharukon
CompressedPlatinum	GalaxySpace:item.CompressedPlates	8	Compressed Platinum
CompressedTungsten	GalaxySpace:item.CompressedPlates	9	Compressed Tungsten
SingleUseCrowbarMold	ggfab:gt.ggfab.d1	32	Mold (Single Use Crowbar)
SingleUseFileMold	ggfab:gt.ggfab.d1	30	Mold (Single Use File)
SingleUseHardHammerMold	ggfab:gt.ggfab.d1	34	Mold (Single Use Hard Hammer)
SingleUseSawMold	ggfab:gt.ggfab.d1	37	Mold (Single Use Saw)
SingleUseScrewdriverMold	ggfab:gt.ggfab.d1	36	Mold (Single Use Screwdriver)
SingleUseSoftMalletMold	ggfab:gt.ggfab.d1	35	Mold (Single Use Soft Mallet)
SingleUseWireCutterMold	ggfab:gt.ggfab.d1	33	Mold (Single Use Wire Cutter)
SingleUseWrenchMold	ggfab:gt.ggfab.d1	31	Mold (Single Use Wrench)
alumiteRod	TConstruct:toolRod	15	Obzinite Tool Rod
antiBlock	chisel:antiBlock	0	Anti Block
apiaryUpgrade	gregtech:gt.metaitem.03	32200	Acceleration Upgrade x2
apiaryUpgrade	gregtech:gt.metaitem.03	32201	Acceleration Upgrade x4
apiaryUpgrade	gregtech:gt.metaitem.03	32202	Acceleration Upgrade x8
apiaryUpgrade	gregtech:gt.metaitem.03	32203	Acceleration Upgrade x16
apiaryUpgrade	gregtech:gt.metaitem.03	32204	Acceleration Upgrade x32
apiaryUpgrade	gregtech:gt.metaitem.03	32205	Acceleration Upgrade x64
apiaryUpgrade	gregtech:gt.metaitem.03	32206	Acceleration Upgrade x128
apiaryUpgrade	gregtech:gt.metaitem.03	32207	Acceleration Upgrade x256
apiaryUpgrade	gregtech:gt.metaitem.03	32208	Upgraded Acceleration Upgrade x256
apiaryUpgrade	gregtech:gt.metaitem.03	32209	Production Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32210	Plains Emulation Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32211	Light Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32212	Flowering Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32213	Winter Emulation Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32214	Dryer Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32215	Automation Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32216	Humidifier Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32217	HELL Emulation Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32218	Pollen Scrubber Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32219	Desert Emulation Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32220	Cooler Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32221	Lifespan Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32222	Seal Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32223	Genetic Stabilizer Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32224	Jungle Emulation Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32225	Territory Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32226	Ocean Emulation Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32227	Open Sky Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32228	Heater Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32229	Sieve Upgrade
apiaryUpgrade	gregtech:gt.metaitem.03	32231	Night Upgrade
arditeRod	TConstruct:toolRod	11	Ardite Tool Rod
bEnderAirBottle	Botania:manaResource	15	Ender Air Bottle
bFlask	Botania:vial	1	Alfglass Flask
bPlaceholder	Botania:manaResource	11	Crafting Placeholder
bRedString	Botania:manaResource	12	Red String
bVial	Botania:vial	0	Managlass Vial
barsAluminium	dreamcraft:item.AluminiumBars	0	Aluminium Bars
barsChrome	dreamcraft:item.ChromeBars	0	Chrome Bars
barsConductiveIron	dreamcraft:item.ConductiveIronBars	0	Conductive Iron Bars
barsElectricalSteel	dreamcraft:item.ElectricalSteelBars	0	Electrical Steel Bars
barsEnderium	dreamcraft:item.EnderiumBars	0	Enderium Bars
barsEnderiumBase	dreamcraft:item.EnderiumBaseBars	0	Enderium Base Bars
barsEnergeticAlloy	dreamcraft:item.EnergeticAlloyBars	0	Energetic Alloy Bars
barsIridium	dreamcraft:item.IridiumBars	0	Iridium Bars
barsIron	minecraft:iron_bars	0	Iron Bars
barsIron	EnderIO:blockDarkIronBars	0	Dark Steel Bars
barsIron	EnderIO:blockSoulariumBars	0	Soularium Bars
barsIron	EnderIO:blockEndSteelBars	0	End Steel Bars
barsNeutronium	dreamcraft:item.NeutroniumBars	0	Neutronium Bars
barsOsmium	dreamcraft:item.OsmiumBars	0	Osmium Bars
barsPulsatingIron	dreamcraft:item.PulsatingIronBars	0	Pulsating Iron Bars
barsRedstoneAlloy	dreamcraft:item.RedstoneAlloyBars	0	Redstone Alloy Bars
barsSoularium	dreamcraft:item.SoulariumBars	0	Soularium Bars
barsSoularium	EnderIO:blockSoulariumBars	0	Soularium Bars
barsStainlessSteel	dreamcraft:item.StainlessSteelBars	0	Stainless Steel Bars
barsSteel	dreamcraft:item.SteelBars	0	Steel Bars
barsTitanium	dreamcraft:item.TitaniumBars	0	Titanium Bars
barsTungsten	dreamcraft:item.TungstenBars	0	Tungsten Bars
barsTungstenSteel	dreamcraft:item.TungstenSteelBars	0	Tungstensteel Bars
basalt	gregtech:gt.blockstones	8	Basalt
basalt	gregtech:gt.blockstones	9	Basalt Cobblestone
basalt	gregtech:gt.blockstones	10	Mossy Basalt Cobblestone
basalt	gregtech:gt.blockstones	11	Basalt Bricks
