registry_name	damage	alias	source
ae2fc:fluid_part	0	1k ME Fluid Storage Component	canonical_display_stripped
ae2fc:fluid_part	1	4k ME Fluid Storage Component	canonical_display_stripped
ae2fc:fluid_part	2	16k ME Fluid Storage Component	canonical_display_stripped
ae2fc:fluid_part	3	64k ME Fluid Storage Component	canonical_display_stripped
ae2fc:fluid_part	4	256k ME Fluid Storage Component	canonical_display_stripped
ae2fc:fluid_part	5	1024k ME Fluid Storage Component	canonical_display_stripped
ae2fc:fluid_part	6	4096k ME Fluid Storage Component	canonical_display_stripped
ae2fc:fluid_part	7	16384k ME Fluid Storage Component	canonical_display_stripped
ae2fc:fluid_storage1	0	1k ME Fluid Storage Cell	canonical_display_stripped
ae2fc:fluid_storage1024	0	1024k ME Fluid Storage Cell	canonical_display_stripped
ae2fc:fluid_storage16	0	16k ME Fluid Storage Cell	canonical_display_stripped
ae2fc:fluid_storage16384	0	16384k ME Fluid Storage Cell	canonical_display_stripped
ae2fc:fluid_storage256	0	256k ME Fluid Storage Cell	canonical_display_stripped
ae2fc:fluid_storage4	0	4k ME Fluid Storage Cell	canonical_display_stripped
ae2fc:fluid_storage4096	0	4096k ME Fluid Storage Cell	canonical_display_stripped
ae2fc:fluid_storage64	0	64k ME Fluid Storage Cell	canonical_display_stripped
ae2fc:multi_fluid_storage1	0	1k ME Multi-Fluid Storage Cell	canonical_display_stripped
ae2fc:multi_fluid_storage1024	0	1024k ME Multi-Fluid Storage Cell	canonical_display_stripped
ae2fc:multi_fluid_storage16	0	16k ME Multi-Fluid Storage Cell	canonical_display_stripped
ae2fc:multi_fluid_storage16384	0	16384k ME Multi-Fluid Storage Cell	canonical_display_stripped
ae2fc:multi_fluid_storage256	0	256k ME Multi-Fluid Storage Cell	canonical_display_stripped
ae2fc:multi_fluid_storage4	0	4k ME Multi-Fluid Storage Cell	canonical_display_stripped
ae2fc:multi_fluid_storage4096	0	4096k ME Multi-Fluid Storage Cell	canonical_display_stripped
ae2fc:multi_fluid_storage64	0	64k ME Multi-Fluid Storage Cell	canonical_display_stripped
appliedenergistics2:item.ItemAdvancedStorageCell.1024k	0	1024k ME Storage Cell	canonical_display_stripped
appliedenergistics2:item.ItemAdvancedStorageCell.16384k	0	16384k ME Storage Cell	canonical_display_stripped
appliedenergistics2:item.ItemAdvancedStorageCell.256k	0	256k ME Storage Cell	canonical_display_stripped
appliedenergistics2:item.ItemAdvancedStorageCell.4096k	0	4096k ME Storage Cell	canonical_display_stripped
appliedenergistics2:item.ItemBasicStorageCell.16k	0	16k ME Storage Cell	canonical_display_stripped
appliedenergistics2:item.ItemBasicStorageCell.1k	0	1k ME Storage Cell	canonical_display_stripped
appliedenergistics2:item.ItemBasicStorageCell.4k	0	4k ME Storage Cell	canonical_display_stripped
appliedenergistics2:item.ItemBasicStorageCell.64k	0	64k ME Storage Cell	canonical_display_stripped
appliedenergistics2:item.ItemMultiMaterial	35	1k ME Storage Component	canonical_display_stripped
appliedenergistics2:item.ItemMultiMaterial	36	4k ME Storage Component	canonical_display_stripped
appliedenergistics2:item.ItemMultiMaterial	37	16k ME Storage Component	canonical_display_stripped
appliedenergistics2:item.ItemMultiMaterial	38	64k ME Storage Component	canonical_display_stripped
appliedenergistics2:item.ItemMultiMaterial	57	256k ME Storage Component	canonical_display_stripped
appliedenergistics2:item.ItemMultiMaterial	58	1024k ME Storage Component	canonical_display_stripped
appliedenergistics2:item.ItemMultiMaterial	59	4096k ME Storage Component	canonical_display_stripped
appliedenergistics2:item.ItemMultiMaterial	60	16384k ME Storage Component	canonical_display_stripped
appliedenergistics2:tile.BlockAdvancedCraftingStorage	0	256k Crafting Storage	canonical_display_stripped
