mod_id	version	artifact	artifact_sha256	source	subject	content
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	AQUAMARINE	KHAKI + CYAN -> AQUAMARINE (90%); LEMON_CHIFFON + CYAN -> AQUAMARINE (95%); PALE_GREEN + CYAN -> AQUAMARINE (100%); PALE_GREEN + LAVENDER -> AQUAMARINE (90%); PALE_GREEN + MEDIUM_AQUAMARINE -> AQUAMARINE (110%); PALE_TURQUOISE + PALE_GREEN -> AQUAMARINE (100%); SPRING_GREEN + CYAN -> AQUAMARINE (100%); SPRING_GREEN + LAVENDER -> AQUAMARINE (90%); SPRING_GREEN + LIGHT_GRAY -> AQUAMARINE (95%); SPRING_GREEN + MISTY_ROSE -> AQUAMARINE (80%); SPRING_GREEN + PALE_TURQUOISE -> AQUAMARINE (100%); SPRING_GREEN + SKY_BLUE -> AQUAMARINE (85%); TURQUOISE + LEMON_CHIFFON -> AQUAMARINE (100%); TURQUOISE + PALE_GREEN -> AQUAMARINE (105%); TURQUOISE + SPRING_GREEN -> AQUAMARINE (105%); WHITE + PALE_GREEN -> AQUAMARINE (100%); WHITE + SPRING_GREEN -> AQUAMARINE (95%)
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	BLUE	ROYAL_BLUE + DARK_VIOLET -> BLUE (105%); SLATE_BLUE + DARK_VIOLET -> BLUE (115%)
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	BROWN	DARK_OLIVE_GREEN + CRIMSON -> BROWN (70%); DARK_SLATE_BLUE + CHOCOLATE -> BROWN (75%); DARK_SLATE_GRAY + CRIMSON -> BROWN (80%); DIM_GRAY + CRIMSON -> BROWN (100%); INDIAN_RED + CRIMSON -> BROWN (115%); INDIGO + DARK_GOLDENROD -> BROWN (55%); INDIGO + DARK_ORANGE -> BROWN (55%); INDIGO + GOLDENROD -> BROWN (45%); MAROON + CRIMSON -> BROWN (105%); MAROON + DARK_GRAY -> BROWN (75%); MAROON + DARK_SALMON -> BROWN (80%); MAROON + DIM_GRAY -> BROWN (95%); MAROON + GRAY -> BROWN (90%); MAROON + INDIAN_RED -> BROWN (100%); MEDIUM_VIOLET_RED + MAROON -> BROWN (95%); NAVY + DARK_ORANGE -> BROWN (50%); OLIVE + MEDIUM_VIOLET_RED -> BROWN (60%); OLIVE_DRAB + MEDIUM_VIOLET_RED -> BROWN (50%); PALE_VIOLET_RED + MAROON -> BROWN (90%); PURPLE + CHOCOLATE -> BROWN (75%); PURPLE + DARK_GOLDENROD -> BROWN (60%); PURPLE + OLIVE -> BROWN (55%); RED + DARK_OLIVE_GREEN -> BROWN (70%); RED + DARK_SLATE_BLUE -> BROWN (80%); RED + DARK_SLATE_GRAY -> BROWN (75%); RED + DIM_GRAY -> BROWN (95%); RED + INDIGO -> BROWN (75%); RED + MAROON -> BROWN (100%); ROSY_BROWN + MAROON -> BROWN (85%); SALMON + BLACK -> BROWN (65%); SEA_GREEN + CRIMSON -> BROWN (55%); SIENNA + CRIMSON -> BROWN (110%); SIENNA + INDIAN_RED -> BROWN (110%); SIENNA + MAROON -> BROWN (110%); TEAL + RED -> BROWN (70%)
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	CADET_BLUE	CYAN + BROWN -> CADET_BLUE (50%); DARK_SLATE_BLUE + AQUAMARINE -> CADET_BLUE (60%); DEEP_SKY_BLUE + CHOCOLATE -> CADET_BLUE (70%); DEEP_SKY_BLUE + CORAL -> CADET_BLUE (70%); DEEP_SKY_BLUE + DARK_OLIVE_GREEN -> CADET_BLUE (70%); DEEP_SKY_BLUE + DARK_SALMON -> CADET_BLUE (80%); DIM_GRAY + DARK_TURQUOISE -> CADET_BLUE (90%); DODGER_BLUE + DARK_GOLDENROD -> CADET_BLUE (70%); DODGER_BLUE + DARK_KHAKI -> CADET_BLUE (65%); GOLDENROD + DODGER_BLUE -> CADET_BLUE (65%); GRAY + DARK_TURQUOISE -> CADET_BLUE (95%); GRAY + DEEP_SKY_BLUE -> CADET_BLUE (100%); INDIAN_RED + CYAN -> CADET_BLUE (60%); INDIAN_RED + DARK_TURQUOISE -> CADET_BLUE (65%); LIGHT_SEA_GREEN + DARK_GRAY -> CADET_BLUE (105%); LIGHT_SEA_GREEN + DARK_SALMON -> CADET_BLUE (80%); LIGHT_SEA_GREEN + GRAY -> CADET_BLUE (100%); LIGHT_STEEL_BLUE + DARK_OLIVE_GREEN -> CADET_BLUE (80%); MEDIUM_AQUAMARINE + DIM_GRAY -> CADET_BLUE (90%); MEDIUM_AQUAMARINE + GRAY -> CADET_BLUE (95%); MEDIUM_PURPLE + LIME_GREEN -> CADET_BLUE (65%); MEDIUM_SEA_GREEN + DODGER_BLUE -> CADET_BLUE (75%); OLIVE_DRAB + DODGER_BLUE -> CADET_BLUE (65%); PALE_GREEN + DARK_SLATE_BLUE -> CADET_BLUE (55%); PALE_GREEN + MEDIUM_PURPLE -> CADET_BLUE (65%); PALE_TURQUOISE + DARK_SLATE_GRAY -> CADET_BLUE (75%); PALE_TURQUOISE + DIM_GRAY -> CADET_BLUE (85%); PALE_TURQUOISE + GRAY -> CADET_BLUE (95%); PALE_VIOLET_RED + DARK_TURQUOISE -> CADET_BLUE (60%); PERU + DEEP_SKY_BLUE -> CADET_BLUE (75%); PINK + LIGHT_SEA_GREEN -> CADET_BLUE (70%); PLUM + MEDIUM_SEA_GREEN -> CADET_BLUE (80%); ROSY_BROWN + DARK_TURQUOISE -> CADET_BLUE (80%); ROSY_BROWN + LIGHT_SEA_GREEN -> CADET_BLUE (85%); ROYAL_BLUE + PALE_GREEN -> CADET_BLUE (60%); SALMON + DARK_TURQUOISE -> CADET_BLUE (70%); SANDY_BROWN + DEEP_SKY_BLUE -> CADET_BLUE (75%); SEA_GREEN + DARK_GRAY -> CADET_BLUE (100%); SEA_GREEN + DEEP_SKY_BLUE -> CADET_BLUE (85%); SEA_GREEN + LIGHT_STEEL_BLUE -> CADET_BLUE (90%); SIENNA + DARK_TURQUOISE -> CADET_BLUE (70%); SIENNA + DEEP_SKY_BLUE -> CADET_BLUE (70%); SKY_BLUE + DARK_OLIVE_GREEN -> CADET_BLUE (80%); SKY_BLUE + DARK_SLATE_GRAY -> CADET_BLUE (80%); SKY_BLUE + DIM_GRAY -> CADET_BLUE (90%); SKY_BLUE + GRAY -> CADET_BLUE (100%); SLATE_BLUE + LIME_GREEN -> CADET_BLUE (60%); SLATE_BLUE + PALE_GREEN -> CADET_BLUE (60%); SLATE_GRAY + DARK_SEA_GREEN -> CADET_BLUE (95%); SLATE_GRAY + DARK_TURQUOISE -> CADET_BLUE (100%); SLATE_GRAY + LIGHT_SEA_GREEN -> CADET_BLUE (100%); SLATE_GRAY + MEDIUM_AQUAMARINE -> CADET_BLUE (95%); SLATE_GRAY + SKY_BLUE -> CADET_BLUE (100%); SPRING_GREEN + MEDIUM_ORCHID -> CADET_BLUE (65%); STEEL_BLUE + DARK_KHAKI -> CADET_BLUE (75%); STEEL_BLUE + DARK_SEA_GREEN -> CADET_BLUE (85%); STEEL_BLUE + DARK_TURQUOISE -> CADET_BLUE (100%); STEEL_BLUE + LIGHT_SEA_GREEN -> CADET_BLUE (100%); STEEL_BLUE + MEDIUM_AQUAMARINE -> CADET_BLUE (90%); STEEL_BLUE + MEDIUM_SEA_GREEN -> CADET_BLUE (85%); TAN + DEEP_SKY_BLUE -> CADET_BLUE (85%); TEAL + DARK_GRAY -> CADET_BLUE (100%); TEAL + DARK_SALMON -> CADET_BLUE (80%); TEAL + DEEP_SKY_BLUE -> CADET_BLUE (100%); TEAL + GRAY -> CADET_BLUE (105%); TEAL + LAVENDER -> CADET_BLUE (85%); TEAL + LIGHT_GRAY -> CADET_BLUE (90%); TEAL + LIGHT_SEA_GREEN -> CADET_BLUE (110%); TEAL + LIGHT_STEEL_BLUE -> CADET_BLUE (95%); TEAL + MISTY_ROSE -> CADET_BLUE (75%); TEAL + PINK -> CADET_BLUE (65%); TEAL + ROSY_BROWN -> CADET_BLUE (85%); TEAL + SKY_BLUE -> CADET_BLUE (100%); TEAL + SLATE_GRAY -> CADET_BLUE (105%); TEAL + TAN -> CADET_BLUE (85%); THISTLE + LIGHT_SEA_GREEN -> CADET_BLUE (85%); THISTLE + SEA_GREEN -> CADET_BLUE (85%); THISTLE + TEAL -> CADET_BLUE (80%); TURQUOISE + DARK_SLATE_GRAY -> CADET_BLUE (75%); TURQUOISE + DIM_GRAY -> CADET_BLUE (85%); TURQUOISE + INDIAN_RED -> CADET_BLUE (60%); TURQUOISE + ROSY_BROWN -> CADET_BLUE (80%); TURQUOISE + STEEL_BLUE -> CADET_BLUE (90%); YELLOW_GREEN + ROYAL_BLUE -> CADET_BLUE (55%)
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	CHOCOLATE	DARK_KHAKI + BROWN -> CHOCOLATE (75%); DARK_ORANGE + BROWN -> CHOCOLATE (85%); GOLD + CRIMSON -> CHOCOLATE (65%); GOLDENROD + BROWN -> CHOCOLATE (80%); GOLDENROD + CRIMSON -> CHOCOLATE (80%); INDIAN_RED + DARK_GOLDENROD -> CHOCOLATE (90%); INDIAN_RED + DARK_ORANGE -> CHOCOLATE (95%); MAROON + GOLD -> CHOCOLATE (55%); MAROON + KHAKI -> CHOCOLATE (55%); ORANGE + BROWN -> CHOCOLATE (80%); ORANGE + CRIMSON -> CHOCOLATE (80%); ORANGE + MAROON -> CHOCOLATE (70%); PALE_VIOLET_RED + DARK_GOLDENROD -> CHOCOLATE (80%); PERU + CORAL -> CHOCOLATE (115%); PERU + INDIAN_RED -> CHOCOLATE (100%); RED + DARK_GOLDENROD -> CHOCOLATE (90%); RED + DARK_KHAKI -> CHOCOLATE (80%); RED + GOLD -> CHOCOLATE (75%); RED + GOLDENROD -> CHOCOLATE (85%); RED + PERU -> CHOCOLATE (105%); SANDY_BROWN + BROWN -> CHOCOLATE (85%); SIENNA + CORAL -> CHOCOLATE (105%); SIENNA + DARK_ORANGE -> CHOCOLATE (100%); SIENNA + DARK_SALMON -> CHOCOLATE (100%); SIENNA + PERU -> CHOCOLATE (105%); YELLOW_GREEN + CRIMSON -> CHOCOLATE (50%); YELLOW_GREEN + RED -> CHOCOLATE (55%)
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	CORAL	DARK_SALMON + CHOCOLATE -> CORAL (110%); GOLD + DEEP_PINK -> CORAL (55%); HOT_PINK + DARK_ORANGE -> CORAL (80%); MEDIUM_VIOLET_RED + GOLD -> CORAL (50%); ORANGE + HOT_PINK -> CORAL (75%); PALE_VIOLET_RED + DARK_ORANGE -> CORAL (85%); RED + DARK_ORANGE -> CORAL (100%); RED + KHAKI -> CORAL (75%); RED + ORANGE -> CORAL (90%); SALMON + CHOCOLATE -> CORAL (110%); SALMON + DARK_ORANGE -> CORAL (105%); SALMON + DARK_SALMON -> CORAL (120%); SALMON + PERU -> CORAL (105%); SANDY_BROWN + DARK_SALMON -> CORAL (115%); SANDY_BROWN + INDIAN_RED -> CORAL (100%); SANDY_BROWN + RED -> CORAL (100%)
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	CRIMSON	DEEP_PINK + BROWN -> CRIMSON (100%); INDIAN_RED + BROWN -> CRIMSON (110%); MAROON + DEEP_PINK -> CRIMSON (90%); MAROON + HOT_PINK -> CRIMSON (80%); MEDIUM_VIOLET_RED + CHOCOLATE -> CRIMSON (85%); PURPLE + DARK_ORANGE -> CRIMSON (60%); RED + BROWN -> CRIMSON (110%); RED + DEEP_PINK -> CRIMSON (95%); RED + GRAY -> CRIMSON (95%); RED + INDIAN_RED -> CRIMSON (110%); RED + MEDIUM_VIOLET_RED -> CRIMSON (95%); RED + PALE_VIOLET_RED -> CRIMSON (100%); RED + PURPLE -> CRIMSON (80%); SALMON + MAROON -> CRIMSON (85%); SIENNA + DEEP_PINK -> CRIMSON (90%); SIENNA + MEDIUM_VIOLET_RED -> CRIMSON (95%); SIENNA + RED -> CRIMSON (110%); SLATE_GRAY + RED -> CRIMSON (85%)
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	CYAN	TURQUOISE + DARK_TURQUOISE -> CYAN (120%); TURQUOISE + PALE_TURQUOISE -> CYAN (115%)
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	DARK_GOLDENROD	DARK_OLIVE_GREEN + CHOCOLATE -> DARK_GOLDENROD (85%); DARK_ORANGE + CADET_BLUE -> DARK_GOLDENROD (80%); DARK_ORANGE + DARK_OLIVE_GREEN -> DARK_GOLDENROD (80%); DARK_SEA_GREEN + CHOCOLATE -> DARK_GOLDENROD (80%); DARK_SLATE_GRAY + DARK_ORANGE -> DARK_GOLDENROD (70%); GOLDENROD + DARK_KHAKI -> DARK_GOLDENROD (110%); GOLDENROD + DIM_GRAY -> DARK_GOLDENROD (90%); GRAY + GOLDENROD -> DARK_GOLDENROD (95%); OLIVE + CHOCOLATE -> DARK_GOLDENROD (95%); OLIVE + DARK_ORANGE -> DARK_GOLDENROD (95%); OLIVE + DARK_SALMON -> DARK_GOLDENROD (90%); OLIVE + GOLDENROD -> DARK_GOLDENROD (105%); OLIVE_DRAB + CHOCOLATE -> DARK_GOLDENROD (85%); OLIVE_DRAB + CORAL -> DARK_GOLDENROD (75%); OLIVE_DRAB + DARK_ORANGE -> DARK_GOLDENROD (85%); OLIVE_DRAB + DARK_SALMON -> DARK_GOLDENROD (85%); OLIVE_DRAB + INDIAN_RED -> DARK_GOLDENROD (70%); ORANGE + DARK_OLIVE_GREEN -> DARK_GOLDENROD (85%); ORANGE + DARK_SLATE_GRAY -> DARK_GOLDENROD (70%); ORANGE + DIM_GRAY -> DARK_GOLDENROD (85%); ORANGE + GOLDENROD -> DARK_GOLDENROD (120%); ORANGE + GRAY -> DARK_GOLDENROD (90%); ORANGE + OLIVE -> DARK_GOLDENROD (95%); PERU + GOLDENROD -> DARK_GOLDENROD (110%); PERU + OLIVE -> DARK_GOLDENROD (100%); ROSY_BROWN + OLIVE -> DARK_GOLDENROD (90%); SANDY_BROWN + DARK_OLIVE_GREEN -> DARK_GOLDENROD (85%); SANDY_BROWN + OLIVE -> DARK_GOLDENROD (95%); SANDY_BROWN + OLIVE_DRAB -> DARK_GOLDENROD (90%); SIENNA + OLIVE -> DARK_GOLDENROD (95%); SLATE_GRAY + GOLDENROD -> DARK_GOLDENROD (85%); SLATE_GRAY + ORANGE -> DARK_GOLDENROD (85%); STEEL_BLUE + DARK_ORANGE -> DARK_GOLDENROD (75%); YELLOW + MAROON -> DARK_GOLDENROD (45%); YELLOW_GREEN + BROWN -> DARK_GOLDENROD (55%); YELLOW_GREEN + INDIAN_RED -> DARK_GOLDENROD (65%)
binnie-botany	2.6.32	binnie-mods-2.6.32.jar	5eb7ec5500ca846944f0e547706eb3735d5fe9996176fca57f97c178a872325b	binnie.botany.genetics.EnumFlowerColor.setupMutations	DARK_GRAY	DARK_SALMON + CADET_BLUE -> DARK_GRAY (85%); INDIAN_RED + AQUAMARINE -> DARK_GRAY (55%); LAVENDER + DARK_OLIVE_GREEN -> DARK_GRAY (75%); LAVENDER + DARK_SLATE_GRAY -> DARK_GRAY (70%); LAVENDER + DIM_GRAY -> DARK_GRAY (85%); LAVENDER + GRAY -> DARK_GRAY (95%); LEMON_CHIFFON + DARK_SLATE_BLUE -> DARK_GRAY (55%); LEMON_CHIFFON + DIM_GRAY -> DARK_GRAY (80%); LEMON_CHIFFON + GRAY -> DARK_GRAY (90%); LIGHT_GRAY + DIM_GRAY -> DARK_GRAY (95%); LIGHT_GRAY + GRAY -> DARK_GRAY (100%); LIGHT_STEEL_BLUE + GRAY -> DARK_GRAY (105%); MEDIUM_AQUAMARINE + INDIAN_RED -> DARK_GRAY (65%); MISTY_ROSE + DARK_SLATE_GRAY -> DARK_GRAY (65%); MISTY_ROSE + DIM_GRAY -> DARK_GRAY (85%); MISTY_ROSE + GRAY -> DARK_GRAY (95%); PALE_GREEN + MEDIUM_ORCHID -> DARK_GRAY (65%); PALE_VIOLET_RED + AQUAMARINE -> DARK_GRAY (55%); PALE_VIOLET_RED + MEDIUM_AQUAMARINE -> DARK_GRAY (60%); PINK + CADET_BLUE -> DARK_GRAY (80%); PLUM + DARK_SEA_GREEN -> DARK_GRAY (70%); ROSY_BROWN + CADET_BLUE -> DARK_GRAY (90%); ROSY_BROWN + DARK_SEA_GREEN -> DARK_GRAY (85%); ROSY_BROWN + LIGHT_GRAY -> DARK_GRAY (105%); ROSY_BROWN + PALE_TURQUOISE -> DARK_GRAY (85%); ROYAL_BLUE + KHAKI -> DARK_GRAY (55%); SALMON + LIGHT_SEA_GREEN -> DARK_GRAY (70%); SIENNA + PALE_TURQUOISE -> DARK_GRAY (70%); SKY_BLUE + DARK_SALMON -> DARK_GRAY (80%); SKY_BLUE + PERU -> DARK_GRAY (80%); SKY_BLUE + SANDY_BROWN -> DARK_GRAY (85%); SLATE_BLUE + KHAKI -> DARK_GRAY (55%); SLATE_GRAY + LEMON_CHIFFON -> DARK_GRAY (85%); SLATE_GRAY + LIGHT_GRAY -> DARK_GRAY (100%); SLATE_GRAY + LIGHT_STEEL_BLUE -> DARK_GRAY (105%); SLATE_GRAY + MISTY_ROSE -> DARK_GRAY (90%); STEEL_BLUE + SANDY_BROWN -> DARK_GRAY (80%); TAN + GRAY -> DARK_GRAY (100%); TAN + LIGHT_STEEL_BLUE -> DARK_GRAY (100%); TAN + SKY_BLUE -> DARK_GRAY (95%); TAN + SLATE_GRAY -> DARK_GRAY (95%); TAN + STEEL_BLUE -> DARK_GRAY (85%); THISTLE + DARK_OLIVE_GREEN -> DARK_GRAY (75%); THISTLE + DARK_SEA_GREEN -> DARK_GRAY (85%); THISTLE + DIM_GRAY -> DARK_GRAY (90%); THISTLE + GRAY -> DARK_GRAY (100%); THISTLE + SLATE_GRAY -> DARK_GRAY (100%); TURQUOISE + PALE_VIOLET_RED -> DARK_GRAY (60%); TURQUOISE + SALMON -> DARK_GRAY (65%); VIOLET + MEDIUM_SEA_GREEN -> DARK_GRAY (75%); WHEAT + DARK_SLATE_GRAY -> DARK_GRAY (70%); WHEAT + SLATE_GRAY -> DARK_GRAY (90%); WHEAT + STEEL_BLUE -> DARK_GRAY (75%); WHITE + DARK_SLATE_GRAY -> DARK_GRAY (70%); WHITE + DIM_GRAY -> DARK_GRAY (85%); YELLOW_GREEN + MEDIUM_PURPLE -> DARK_GRAY (45%)
