mod_id	version	artifact	artifact_sha256	source	subject	content
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	thaumicenergistics.common.tiles.TileArcaneAssembler	Thaumcraft AE Arcane Assembler crafting provider API	TileArcaneAssembler implements AE2 ICraftingProvider, has a base craft time of 20 ticks, and can store up to 1500 centivis.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEARCANEASSEMBLER.1	Thaumcraft AE arcane autocrafting - Arcane Assembler construction	While examining the Molecular Assembler it occurs to you that it may be possible to modify the assembler to produce arcane items. You conclude that by infusing the assembler with the appropriate shards it will be able to regulate vis flow into items. It will also need a moderate amount of vis storage, and the Silverwood Scepter seems the best choice. Note: The scepter is infused into the assembler, and must be fully charged.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEARCANEASSEMBLER.2	Thaumcraft AE arcane autocrafting - Arcane Assembler pattern storage, vis, and acceleration	Pattern Storage The assembler itself does not store crafting recipes. Further research may be required to devise a pattern storage medium. Vis Replenishment Replenishing the assembler's internal vis storage will require the services of a Vis Relay Interface. Acceleration Cards Each card decreases crafting time by 20% and increases power required by 50%.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEARCANEASSEMBLER.3	Thaumcraft AE arcane autocrafting - Arcane Assembler vis discount and warp cost	Vis Discounts Due to the inclusion of the crafting scepter, the assembler has a base vis discount equal to that of the scepter. The discount can be further enhanced by providing the assembler vis discount armor. The discount for each aspect can be viewed by hovering over the aspect in the GUI. The assembler is not immune to the effects of warping gear; For each point of warp the assembler must draw an additional 15% power to remain stable while crafting.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEKNOWLEDGEINSCRIBER.1	Thaumcraft AE arcane autocrafting patterns - Knowledge Core and Knowledge Inscriber	With the Arcane Assembler constructed, you will need a way to teach it what it will be assembling. You have devised the Knowledge Core, a device capable of storing arcane recipes. The core serves as pattern storage, giving the assembler instructions on how to build items. To encode recipe patterns on the core, you will need to use the Knowledge Inscriber.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEKNOWLEDGEINSCRIBER.2	Thaumcraft AE arcane autocrafting patterns - encoding and deleting Knowledge Core recipes	Using The Knowledge Inscriber First place a Knowledge Core into the top-right slot. Next, use the crafting grid to setup the recipe for the item. If you have the required knowledge(research) for the recipe, the resulting item will be displayed. Pressing the save button will then inscribe the recipe onto the core. The finished product will then show in the stored-pattern area. To remove an inscribed recipe from the core, first select a pattern from the stored-pattern area. The selected patterns recipe will then display in the crafting area. Finally, clicking the delete button will remove the pattern from the core.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	thaumicenergistics.common.integration.tc.ArcaneCraftingPattern	Thaumcraft AE arcane crafting pattern API	ArcaneCraftingPattern implements AE2 ICraftingPatternDetails, uses a 9-slot crafting grid, exposes AE inputs and outputs, and records the vis aspect cost.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEARCANETERM.1	Thaumcraft AE autocrafting - Arcane Crafting Terminal	You have discovered that using primal aspects to bind a Terminal to an Arcane Worktable allows you to imbue the terminal with the worktable's ability to craft arcane items. The terminal retains its ability to access items on the ME network allowing faster and more plentiful crafting, as well as store and swap a set of armor for when you need a quick vis discount.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEDISTILLATIONPATTERNENCODER.1	Thaumcraft AE essentia autocrafting patterns - Distillation Pattern Encoder	Expanding on the principles of AE's autocrafing system, you have created a way to encode the essentia distillation process onto an Encoded Pattern. Placing an item into the Thaumometer slot will reveal what you know of the items composition. After selecting the preferred aspect, it can then be encoded onto the encoded pattern or an available blank pattern.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEESSPROV.1	Thaumcraft AE essentia transport - Essentia Provider	While import and export buses are useful for an array of jobs, they lack the flexibility to interface with complex alchemical constructs. To overcome this limitation you have created a device that will allow these constructs to request any essentia directly from the network. Using the Essentia Provider should prove to be a simple task. Simply connect it to both the network and construct, and it will do the rest. Like an essentia buffer it has a small amount of suction(8).
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEADVINFPROV.1	Thaumcraft AE infusion autocrafting - Advanced Infusion Provider	As you continue to optimize your ME network autocrafting, you've been vexed by the slow speed of infusion recipes countless times. The Advanced Infusion Provider will instantly inject all required essentia into active infusions and automatically order the exact amount of any essentia that is missing. It can bind to any number of infusion matrices up to 12 blocks away horizontally (on both axes) and 5 blocks away vertically.
thaumicenergistics	1.7.53-GTNH	thaumicenergistics-1.7.53-GTNH.jar	9e8e8315ba808433e01b3aa4b0627dc12c2edea7467adcff52ffc5cbebe598a0	assets/thaumicenergistics/lang/en_US.lang:thaumicenergistics.research_page.TEINFPROV.1	Thaumcraft AE infusion autocrafting - Infusion Provider	By researching the process of essentia infusion, you have discovered a method for instantaneous conversion between digi-sentia and essentia. By placing an Infusion Provider near a thaumic device, the device can draw essentia directly from the network as if it were a warded jar. If the provider attempts to draw essentia of an aspect that is not present on your network, it will attempt to craft a batch of 32 if a pattern and crafting CPU are available. This could prove to be very useful for the Infusion Altar.
